,delta,nodes_cc,length_cc,i,j,d_ij_b,d_ij_s
173,73247.63222470715,10210.0,545.8382840000012,1942848394,1942848395,0.3414891184613771,0.5625223079036187
174,73665.11318083215,10216.0,546.2040480000012,359073490,5875406863,0.3414891184613771,0.5625223079036187
175,73860.36628298332,10221.0,546.3842000000012,529036599,27036931,0.3414891184613771,0.5625223079036187
176,74049.42953704267,10226.0,546.5465980000013,1251658328,1402573073,0.3414891184613771,0.5625223079036187
177,74055.85310164822,10231.0,546.728850000001,1387278508,235811315,0.3414891184613771,0.5625223079036187
178,74253.92649788084,10236.0,546.892980000001,130617334,235889222,0.3433364978555085,0.5625223079036187
179,74354.36404209447,10241.0,547.1361220000011,171487734,262075672,0.3433364978555085,0.5625223079036187
180,74380.41401544554,10246.0,547.3315150000012,3073005249,262770850,0.3433364978555085,0.5625223079036187
181,74506.34387188441,10251.0,547.510882000001,1404431651,369478340,0.3433364978555085,0.5625223079036187
182,74575.73254276473,10256.0,547.579746000001,3325126119,268930889,0.3433364978555085,0.5625223079036187
183,74658.7229562215,10261.0,548.675056000001,496220847,3033970995,0.3433364978555085,0.5625223079036187
184,74791.87437301151,10266.0,548.7464240000006,356458549,358506365,0.3433364978555085,0.5625223079036187
185,75114.56452036089,10271.0,548.8384440000007,4073828534,4589129654,0.3433364978555085,0.5625223079036187
186,75140.17014002988,10276.0,549.0280960000007,3048895510,3048895511,0.3433364978555085,0.5625223079036187
187,75820.99146567937,10281.0,549.1472120000009,97449881,1902850277,0.3433364978555085,0.5625223079036187
188,75882.24282961468,10286.0,549.2522900000006,3037356180,2270321992,0.3433364978555085,0.5625223079036187
189,77280.46984624551,10291.0,549.4806340000007,370088852,2968045020,0.3433364978555085,0.5625223079036187
190,77292.31167820872,10295.0,549.7026080000004,2763925781,1639945451,0.3433364978555085,0.5625223079036187
191,77326.99535825782,10299.0,550.1487020000004,595759218,56648140,0.3433364978555085,0.5625223079036187
192,77478.29832345157,10303.0,550.3942440000003,1978311368,4229182377,0.3433364978555085,0.5625223079036187
193,77511.91043346982,10307.0,550.6791100000003,421427617,274979093,0.3433364978555085,0.5625223079036187
194,77797.61667929376,10311.0,550.7550840000004,1996232197,1416941553,0.3433364978555085,0.5625223079036187
195,79089.36262351884,10315.0,550.9225260000003,1698441625,146905205,0.3433364978555085,0.5625223079036187
